id,title,notes,organization,formats,tags,wfs_url,download_url,has_wfs,license,metadata_modified,predicted_relevant,relevance_score
bcgs-publications-search,BCGS Publications Search,"The British Columbia Geological Survey (BCGS) Publications Search application is used to search on geoscience data to help industry, government, research agencies, and the general public make informed decisions related to the Earth Sciences.  The BCGS Publications Catalogue is an index of over 5500 publications, articles and databases of the BCGS, Petroleum Geoscience, and Geoscience BC. Publications form a key element of the products of the Survey and include an archive, dating back to 1874. Th",BC Geological Survey,OTHER,"CGKN, GeoFiles, NTS Map, Publications Catalogue, Search, abstract, author, databases, geoscience maps, information circulars, keyword, open files, papers, publication no., scale, series, title, year",,,False,Access Only,2022-06-09T23:56:03.306594,1,0.75
mapplace,MapPlace,"MapPlace is a web service that allows clients to browse, visualize, and analyze multidisciplinary geoscience data. Data themes and applications available on MapPlace include mineral potential, bedrock and surficial geology, publications, mineral and petroleum tenure, MINFILE, assessment reports, geochemistry, and geophysical surveys.  Create your own maps using interactive data sets. Create reports and download data from selected themes and objects. MapPlace requires the Autodesk MapGuide Viewer",BC Geological Survey,OTHER,"GIS, MINFILE, Map Place, MapPlace, assessment reports, bedrock geology, create a map, digital data, geochemistry, geophysical, geoscience data, geospatial, interactive datasets, maps, mineral potential, mineral tenure, petroleum tenure, publications, surficial geology, surveys, thematic maps, tools, web service",,,False,Access Only,2023-08-29T21:48:41.280239,1,0.745
soil-survey-project-boundaries,Soil Survey Project Boundaries,"Soil Survey Project Boundaries (soil mapping study areas) contains the soil survey project area and attributes describing each project (project level metadata), plus links to the locations of other data associated with the project (e.g., soil survey reports, polygon datasets, plotfiles, scanned maps, legends). Soil Mapping divides the landscape into units according to soil association, name, type, drainage, parent material, and texture. This layer is derived from the STE_TEI_PROJECT_BOUNDARIES_S",Knowledge Management,"KML, WMS, MULTIPLE, XLSX","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain inventory mapping, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:34:16.876207,1,0.735
national-parks-of-canada-within-british-columbia,National Parks of Canada within British Columbia,"This dataset provides the administrative boundaries of National Parks and National Park Reserves within the province of British Columbia.  Administrative boundaries were compiled from Legal Surveys Division's cadastral datasets and survey records archived in the Canada Lands Survey Records.  Canada Lands Administrative Boundaries (CLAB) were adjusted to match British Columbia's authoritative base mapping features.  The Fresh Water Atlas (FWA) was used for streams, rivers, coastlines, and height ",GeoBC Branch,"KML, WMS, MULTIPLE","Boundaries, CLAB, Canada Lands, Federal Parks, Marine Parks, National Parks, National Parks of Canada, Protected Areas",,,False,Access Only,2025-05-10T12:42:13.703316,1,0.735
geophysical,Geophysical Data," Geophysical data for British Columbia can be obtained from three agencies:

1. BC Geological Survey: search the Publication Catalogue for released geophysical data and Assessment Reports for geophysical survey results from exploration activity;
2. Geological Survey of Canada: search GEOSCAN for geophysics in British Columbia and the Geoscience Data Repository for Geophysical Data;
3. Geoscience BC: has geophysical publications and data from surveys conducted since 2005.",BC Geological Survey,OTHER,"aeromagnetics, geophysical surveys, geophysics, gravity surveys",,,False,Access Only,2022-06-09T23:53:18.762940,1,0.73
terrain-inventory-mapping-tim-detailed-polygons-with-short-attribute-table-spatial-view,Terrain Inventory Mapping (TIM) Detailed Polygons with Short Attribute Table Spatial View,"Terrain Inventory Mapping (TIM) contains  polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TIM is multi-purpose and divides the landscape into units according to surficial material, surface expression and geomorphological process using the Terrain Classification System for British Columbia. Most of the inventory mapping was completed in the 1970s and 1980s on 1 to 50,000 scale base maps using air photo",Knowledge Management,"FGDB, XLSX, KML, WMS, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain inventory mapping, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:44:04.184348,1,0.725
bedrock-geology,Bedrock Geology,"British Columbia Digital Geology is the data source used for the seamless province-wide, up-to-date, and detailed bedrock geology. The bedrock geology is standardized with consistent stratigraphic code and geometries, and integrates all details of compilations from 1:50,000 to 1:250,000. The latest release (Open File 2017-8) is maintained by a geospatial frame data model, which consists of attributed geological contacts and faults as linework, and outcrops or centroids as points attributed with ",BC Geological Survey,"SHP, OTHER, KML, XML, WMS","bedrock geology, digital geology, faults, geology map, lithology, lithostratigraphy",,https://catalogue.data.gov.bc.ca/dataset/ef8476ed-b02d-4f5c-b778-0d44c9126144/resource/aa3a15f8-02fe-49c6-836c-6866c326203d/download/bedrockgeology2018.zip,False,Open Government Licence - British Columbia,2023-08-29T22:13:57.383422,1,0.72
terrestrial-ecosystem-information-scanned-map-boundary,Terrestrial Ecosystem Information Scanned Map Boundary,"STE_SCANNED_MAP_BOUNDARY_SP includes an index of the mapsheet grid location of Soils, Terrain, Ecosystems and related scanned maps (including Agriculture Capability and Climate Capability maps). These maps are intended for on-screen viewing or printing. The majority of the maps have been geo-referenced. Mapping may not cover the whole map grid area. Some maps are interim or draft and may have been superseded. Some files are of related legends and map project text. Associated scanned map boundary",Knowledge Management,"KML, WMS, MULTIPLE","Canada, Drainage, STE, TEI, TER, TSM, agriculture capability, climate capability, ecology, ecosystem, ecosystem mapping, effluent absorption, erosion, landslide, slope, soil, soil capability, soil classification, soil suitability, terrain, terrain and ecosystems, terrain inventory, terrain mapping, terrain stability, terrestrial ecosystem mapping",,,False,Open Government Licence - British Columbia,2023-06-29T14:21:34.063828,1,0.71
fossil-resources-web-map,Fossil Resources Web Map,"Enables users to browse the location and view related details for thousands of known fossil occurrence sites in British Columbia. Over time, knowledge of fossil resources in the province will increase, allowing for the map and associated database to be refined.",Heritage Branch,OTHER,"Geology, fossil, fossil occurrence, fossil sites, geologic age, geologic time, paleontology",,,False,Access Only,2022-04-06T22:13:01.976061,1,0.705
terrestrial-ecosystem-information-project-scanned-map-boundary,Terrestrial Ecosystem Information Project Scanned Map Boundary,"STE_PRJ_SCANNED_MAP_BNDRY_SVW includes an index of the mapsheet grid location of Soils, Terrain, and Ecosystems projects. These maps are intended for on-screen viewing or printing. The majority of the maps have been geo-referenced. Project mapping may not cover the whole map grid area. Some maps are interim or draft and may have been superseded. Some files are of related legends and map project text. Associated scanned map boundary attributes describe the project map (project level metadata) and",Knowledge Management,"KML, WMS, MULTIPLE","Canada, Drainage, STE, TEI, TER, TSM, agriculture capability, climate capability, ecology, ecosystem, ecosystem mapping, effluent absorption, erosion, landslide, slope, soil, soil capability, soil classification, soil suitability, terrain, terrain and ecosystems, terrain inventory, terrain mapping, terrain stability, terrestrial ecosystem mapping",,,False,Access Only,2023-06-29T14:16:31.389552,1,0.705
snow-basin-indices-mapping-application,Snow Basin Indices Mapping Application,"This is a mapping application of current snow basin indices across British Columbia. Snow basin index mapping is based on analysis from the River Forecast Centre, and is meant to accompany the Snow Conditions and Water Supply Bulletins that are published for data from January 1st, February 1st, March 1st, April 1st, May 1st, May 15th, June 1st and June 15th each year. Snow data collection is managed by the Ministry of Environment and Climate Change Strategy's Snow Program.",River Forecast Centre,OTHER,"AGO, BC, British Columbia, Canada, Climate, Drought, Flood, Hydrology, River Forecast Centre, Snow, Water",,,False,Access Only,2022-05-03T19:37:49.719753,1,0.705
mineral-deposit-profiles,Mineral Deposit Profiles,"Mineral Deposit Profiles provide brief summaries of the types of mineral deposits found in British Columbia. They include descriptions of host rocks, mineralogy, alteration, tectonic setting, associations, genetic models, and exploration guides, and give typical examples with grades and tonnages. Of the 160 profiles for metal, coal deposits and industrial minerals, 120 profile descriptions are in a compiled Geofile 2020-11.",BC Geological Survey,"CSV, XLSX","coal deposits, compilation, deposit type, industrial mineral deposits, metallic mineral deposits, mineral deposit classification, mineral deposit descriptions, mineral deposit models, mineral deposit profiles, mineral deposits",,,False,Access Only,2023-08-29T22:37:34.810506,1,0.695
terrestrial-ecosystem-mapping-tem-project-boundaries,Terrestrial Ecosystem Mapping (TEM) Project Boundaries,"Terrestrial Ecosystem Mapping (TEM) project boundaries contains (study areas) and attributes describing each project (project level metadata), plus links to the locations of other data associated with the project (e.g., reports, polygon datasets, plotfiles, field data, legends).TEM divides the landscape into units according to a variety of ecological features including climate, physiography, surficial material, bedrock geology, soils and vegetation. This layer is derived from the STE_TEI_PROJECT",Knowledge Management,"KML, WMS, MULTIPLE, XLSX","BGC, Canada, Drainage, STE, Seral Stage, TEIS, TEM, TER, TSM, biogeoclimatic, bioterrain, ecology, ecosystem, ecosystem mapping, environmental sensitivity, erosion, forest, landform, landslide, mapping, parent material, riparian, sedimentation, site series, slope stability, soil, structural stage, substrate, surficial geology, terrain and ecosystem information system, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wetland, wildlife habitat",,,False,Open Government Licence - British Columbia,2024-10-07T18:31:13.855826,1,0.69
minfile-mineral-occurrences-search,MINFILE Mineral Occurrences Search,"MINFILE is an inventory documenting metallic mineral, industrial mineral, and coal occurrences in the province. With over 16,000 entries, the database is being updated continuously. Users can query MINFILE by location, identification number, mineralogy, commodity, host rock, deposit type, geological setting, age, production, and references. Search results can be displayed on MapPlace.",BC Geological Survey,OTHER,"British Columbia place, Industrial Mineral, annual coal production, bibliography, capsule geology, commodities, digital data, geological setting, geology, host rock, industrial and coal deposits, location, metallic mineral deposits, mineral, mineral inventory, mineral occurrence, mineral occurrences, occurrence, past production, production, reserves, rock types, stratigraphic age",,,False,Access Only,2023-08-29T21:47:31.914958,1,0.685
reconnaissance-karst-potential-mapping,Reconnaissance Karst Potential Mapping,"An interpretation of bedrock geology, topography and other sources of information that shows the potential for karst formations.  This is a reconnaissance level map for all of British Columbia",Forest Analysis and Inventory Branch,"KML, WMS, MULTIPLE","forestry, geology, karst potential mapping",,,False,Open Government Licence - British Columbia,2024-10-11T22:31:26.791443,1,0.68
bc-parks-ecological-reserves-and-protected-areas,"BC Parks, Ecological Reserves, and Protected Areas","This dataset contains parks and protected areas managed for important conservation values and are dedicated for the preservation of their natural environments for the inspiration, use and enjoyment of the public. Places of special ecological importance are designated as ecological reserves for scientific research and educational purposes. Source data is Tantalis. 
*April 18, 2018: Prior to this date this dataset had one spatial boundary per park per survey plan that intersected the boundary of ",BC Parks,"KML, WMS, MULTIPLE","BC Parks, Boundaries, Canada, Crown Land, Crown Land Registry, Crown Tenure, Eco Reserves, Ecological Reserves, Parks, Protected Area, Protected Land, Provincial Parks, Tantalis",,,False,Open Government Licence - British Columbia,2026-03-22T12:46:00.967205,1,0.675
ground-water-aquifers,Ground Water Aquifers,"Polygon features represent developed ground water aquifers in BC (that have been mapped). Most aquifer boundaries are delineated based on geology, hydrology and topographic information. Some aquifer boundaries stop at the border of BC mapsheet boundaries due to resource or data constraints at the time of mapping.",Water Protection and Sustainability,"XLSX, WMS, MULTIPLE, KML","Canada, Hydrology, aquifer, groundwater",,,False,Open Government Licence - British Columbia,2026-03-21T12:43:25.862003,1,0.675
borehole-log-lithology-public-view,Borehole Log Lithology Public View,"Contains data on lithology, hydraulic conductivity and water levels, taken from borehole logs.

This layer is a point feature and available to Public.",Authorizations and Remediation,"KML, WMS, MULTIPLE","aquifer, aquitard, cleanup, contaminated, groundwater, groundwater level, hydraulic information, remediation, soil description",,,False,Access Only,2026-01-19T23:15:02.681310,1,0.675
hydrology-hydrologic-zone-boundaries-of-british-columbia,Hydrology: Hydrologic Zone Boundaries of British Columbia,Zones that represent areas of homogeneous hydrologic and geomorphological characteristics,Environmental Monitoring and Analysis Branch,"KML, WMS, MULTIPLE",hydrologic,,,False,Open Government Licence - British Columbia,2023-06-29T14:16:33.702148,1,0.675
terrain-stability-mapping-tsm-detailed-polygons-with-short-attribute-table-spatial-view,Terrain Stability Mapping (TSM) Detailed Polygons with Short Attribute Table Spatial View,"Terrain Stability Mapping (TSM) contains  polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TSM uses air photo interpretation and select field checking to divides the landscape into units using the Terrain Classification System for British Columbia and stability criteria. Polygon attributes include (but are not limited to) surficial material, surface expression, geomorphological processes, drainage clas",Knowledge Management,"FGDB, XLSX, KML, WMS, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:41:52.903469,1,0.675
bioterrain-mapping-tbt-detailed-polygons-with-short-attribute-table-spatial-view,Bioterrain Mapping (TBT) Detailed Polygons with Short Attribute Table Spatial View,"Bioterrain (TBT) contains polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TBT divides the landscape into units using the Terrain Classification System for British Columbia and ecological criteria. Polygon attributes include (but are not limited to) surficial material, surface expression, geomorphological processes, drainage class and aspect. TBT methods include manual air photo interpretation supporte",Knowledge Management,"FGDB, XLSX, KML, WMS, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain inventory mapping, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-10T16:49:34.226110,1,0.67
ice-flow-indicator-compilation,Ice-flow indicator compilation,"Building on previous ice-flow indicator compilations for British Columbia, this map and database illustrate major ice-flow directions for the Canadian sector of the Cordilleran ice sheet during the Late Pleistocene. The data were derived from published and unpublished surficial geology, terrain, and glacial feature maps. Because field data are sparse in the area ~ 300 km south of the British Columbia -Yukon border, new data were generated using digital stereo airphotos, digital derived-stereo or",BC Geological Survey,"FGDB, PDF, SHP","Cordilleran ice sheet, Late Pleistocene, bioterrain mapping, crag-and-tail, drift prospecting, drumlin, fluting, glacial features, groove, ice-flow directions, ice-flow indicators, striation, surficial geology",,https://catalogue.data.gov.bc.ca/dataset/a2fc4cb6-0cdc-4a9b-b1e6-6e1139a37cf5/resource/fe265d4e-b6f9-4ca2-ba59-59fa75d20c0a/download/of201604shp.zip,False,Access Only,2023-08-29T22:05:12.040123,1,0.67
terrestrial-ecosystem-information-project-boundaries,Terrestrial Ecosystem Information Project Boundaries,"Terrestrial Ecosystem Information Project Boundaries contains boundaries (study areas) and attributes describing each project (project level metadata), plus links to the locations of other data associated with the project (e.g., reports, polygon datasets, plotfiles, legends). TEI inventories describe the physical and biological attributes of ecosystems. TEI currently includes Terrestrial Ecosystem Mapping (TEM), Predictive Ecosystem Mapping (PEM), Sensitive Ecosystems Inventory (SEI), Terrain Ma",Knowledge Management,"XLSX, FGDB, MULTIPLE","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:30:27.225227,1,0.665
soil-survey-spatial-view,Soil Survey Spatial View,"Soil Survey polygons contain soils spatial and attribute information utilized by the Ministry of Environment online Soil Information Finder Tool ([SIFT](http://www2.gov.bc.ca/gov/content/environment/air-land-water/land/soil-information-finder)). The information pertains to soil survey data in the Province of British Columbia, as well as links to a variety of reports and maps. Polygons related to soil surveys can be made up of a complex of up to 3 components representing 3 different soil types. T",Knowledge Management,"KML, WMS, SHP, MULTIPLE","TEI, inventory, soil, soil classification, soil description, soil drainage, soil horizon, soil inventory, soil map, soil maps, soil name, soil survey, soil texture, soils, soils inventory, soils maps, soils survey, survey",,http://www.env.gov.bc.ca/esd/distdata/ecosystems/Soil_Data/Soil_Data_Pkgs/,False,Open Government Licence - British Columbia,2026-03-21T12:43:57.130837,1,0.66
coalfile-search,COALFILE Search,"The online COALFILE Search application is updated periodically as new reports become available. Searches include COALFILE Number, Report Year, Coal Field and NTS Map.  Results include links to Coal Assessment Reports, MINFILE,  and KML files for use in Google Earth.  The COALFILE database, indexing 1039 Coal Assessment Reports and data from exploration and development properties across British Columbia, is available for download and viewing in MapPlace. The information contained in COALFILE is s",BC Geological Survey,OTHER,"COALFILE, MINFILE, NTS map, application, borehole, bulk samples, coal, coal assessment report, coal field, search, trench",,,False,Access Only,2023-08-29T21:47:48.940648,1,0.66
lidar,LiDAR,"__LiDAR__ (__Li__ght __D__etection __A__nd __R__anging) is a modern survey method that produces three-dimensional spatial information in the form of a data point cloud.

LiDAR is an active remote sensing system; it produces its own energy to acquire information, versus passive systems, like cameras, that only receive energy. 

LiDAR systems are made up of a scanner, which is a laser transmitter and receiver; a GNSS (GPS) receiver; and an inertial navigation system (INS). These instruments are mo",GeoBC Branch,OTHER,"DEM, DSM, LiDAR, data, download, lidar, open, point cloud, portal, remote sensing, web map, webmap",,,False,Open Government Licence - British Columbia,2024-04-18T20:33:20.935380,1,0.66
british-columbia-regional-flood-frequency-analysis-web-application,British Columbia Regional Flood Frequency Analysis Web Application,This ArcGIS Online application displays the hydrometric stations and accompanying drainage areas analyzed as part of Bulletin 2020-1-RFFA described below. A frequency analysis was conducted on Annual Maximum Series (AMS) streamflow data collected at Water Survey of Canada (WSC) and United States Geological Survey (USGS) hydrometric gauge stations that met the following criteria for inclusion in the Bulletin 2020-1-RFFA study: at least 10 years or data (with 350 or more days of observations) abov,Water Management,"CSV, ZIP, OTHER","ArcGIS Online, Flood, Frequenct, Hydrometric, Regional, Streamflow",,,False,Open Government Licence - British Columbia,2025-07-30T21:05:23.920470,1,0.655
ogc-oil-and-gas-regional-fields,Oil and Gas Regional Fields,"Geographic outline of large, unconventional natural gas accumulations that are specific to a geological formation. Regional fields cover an expansive area which is too large to provide a meaningful geographic reference and consequently are not to be used for well naming purposes.",British Columbia Energy Regulator,"KML, WMS, MULTIPLE","BC, BC Energy Regulator, BCER, Energy Regulator, Northeast, OGC, Oil and Gas Commission, oil and gas, regional field",,,False,Access Only,2026-03-21T12:43:42.490147,1,0.655
rock-properties-database,Rock Properties Database,"The Rock Properties Database is a collaborative Geoscience BC project among Mira Geoscience, the Geological Survey of Canada and CAMIRO. This database brings together geophysical and geological information into a common format, facilitating interpretation of rock properties and corresponding geological descriptions across the geological areas of British Columbia. This fully operative web-based system provides a single database for all rock property data allowing aggregation of large amounts of d",BC Geological Survey,"CSV, XLS","Rock, geology, geophysics, property, rock properties",,,False,Access Only,2021-07-22T17:59:29.549972,1,0.65
atlas-of-canada-1-000-000-national-frameworks-data-hydrology-lakes,"Atlas of Canada 1,000,000 National Frameworks Data - Hydrology Lakes","DEPRECATED: 1:1million Lakes from the Natural Resources Canada GeoGratis portal provided by the Earth Sciences Sector.

This has been replaced with [WHSE_BASEMAPPING.NRC_WATERBODIES_1M_SP](https://catalogue.data.gov.bc.ca/dataset/d8090b02-55b6-4117-b876-0b77b6b9ab18)",GeoBC Branch,ORACLE_SDE,"000, Lakes 1 1, Lakes 1 1million",,,False,Access Only,2022-01-13T01:42:24.687752,1,0.65
property-file-index,Property File Index,"Property File is a collection of over 90,000 documents associated with mineral occurrences, donated by industry or individuals, or collected by British Columbia Geological Survey (BCGS) staff.  These documents extend back over 150 years and include unpublished reports, theses, papers, field notes, company prospectuses, correspondence, hand-drawn maps, geology, geochemistry, geophysics, drilling data, claim maps, mine plans and photographs.  The public can search the document index, link through ",BC Geological Survey,"CSV, XLSX","bedrock geology, drill core records, drill data, field notes, future exploration targets, geochemistry, hand drawn maps, mine plans, mineral exploration, photos, property file, prospectuses, reports, theses",,,False,Access Only,2023-08-29T21:51:15.253721,1,0.65
